ἀνδράσιν	ἀνδράσι
ἀνδρίᾳ	ἀνδρείᾳ
ἀπέδειξεν	ἀπέδειξε
ἀπέθανεν	ἀπέθανε
ἀπιστήσειέν	ἀπιστήσειέ
γέγονεν	γέγονε
δ’	δὲ
διέπτυσεν	διέπτυσε
διετέλεσεν	διετέλεσε
ἔδωκεν	ἔδωκε
εἴκοσιν	εἴκοσι
ἐκπέμψειεν	ἐκπέμψειε
ἔλεγε	ἔλεγεν
ἐμόλυνεν	ἐμόλυνε
ἐνέπλησεν	ἐνέπλησε
ἐνόμισεν	ἐνόμισε
ἐξέπιπτεν	ἐξέπιπτε
ἐξετάσειεν	ἐξετάσειε
ἔπαθε	ἔπαθεν
ἐπαίδευσεν	ἐπαίδευσε
ἠπάτησεν	ἠπάτησε
ἐπεπήδεσεν	ἐπεπήδεσε
ἐπέστησεν	ἐπέστησε
ἔχωσιν	ἔχωσι
ἠγνόησεν	ἠγνόησε
ἠφάνιζεν	ἠφάνιζε
μη	μὴ
κατηξίωσεν	κατηξίωσε
μορμολύκια	μορμολύκεια
νωθρίαν	νωθρείαν
νηστίας	νηστείας
ὁρα	ὅρᾳ
οὕτω	οὕτως
παννύχισι	παννύχισιν
παρῄνεσεν	παρῄνεσε
προεῖπεν	προεῖπε
ῥήμασιν	ῥήμασι
σατὰν	σατᾶν
συνῆκεν	συνῆκε
σωφρονηζόμεθα	σωφρονιζόμεθα
τοιοῦτο	τοιοῦτον
τρέχουσιν	τρέχουσι
ὕβρισεν	ὕβρισε
